Division and State,All cases,All C cases,CA,CB,CC,CD,CE,CP,All R cases,RC,RM,RD,Union deauthorization UD,Amendment of certification AC,Unit clarification UC
New England (subtotal),1360,754,455,187,82,64,2,24,576,470,36,36,28,5,11
Middle Atlantic (subtotal),5599,3538,2165,972,281,159,15,100,1932,1627,186,99,21,11,37
East North Central (subtotal),7490,5316,3316,1360,295,150,38,51,2508,2179,196,131,31,23,47
West North Central (subtotal),2748,1688,1133,315,153,51,1,38,1020,895,63,62,12,13,
Per-state,various,,,,,,,,,,,,,,
