row_label,col_1,col_2,col_3,col_4
Hearings,completed,83,9,65
Decisions,issued after hearing,111,15,83
By By,regional directors Board,96 15,18 2,76 7
,After transfer by regional directors for initial decision After review of regional directors' decisions,10 5,2 o,2 5
