Standard Federal regions,All cases,Unfair labor practice cases / All C cases,Unfair labor practice cases / CA,Unfair labor practice cases / CB,Unfair labor practice cases / CC,Unfair labor practice cases / CD,Unfair labor practice cases / CE,Unfair labor practice cases / CG,Unfair labor practice cases / CP,Representation cases / All R cases,Representation cases / RC,Representation cases / RM,Representation cases / RD,Union deauthorization cases / UD,Amendment of certification cases / AC,Unit clarification cases / UC
Region I,678,486,336,113,20,7,0,2,8,184,169,7,8,2,2,4
Region II,1771,1192,711,378,53,22,8,3,17,546,478,25,43,19,3,11
Region III,1339,962,597,273,53,18,6,4,12,355,300,15,60,10,,5
Region IV,1385,1000,703,143,65,29,1,5,7,309,,6,33,2,4,10
