Participating unions,Total valid votes cast,Valid votes cast in elections won Total,Won Votes for unions AFL-CIO,Won Votes for unions Teamsters,Won Votes for unions Other national unions,Won Votes for unions Other local unions,Won Votes for no union,Valid votes cast in elections lost Total,Lost Votes for unions AFL-CIO,Lost Votes for unions Teamsters,Lost Votes for unions Other national unions,Lost Votes for unions Other local unions,Lost Votes for no union
D. ELECTIONS IN RD CASES,,,,,,,,,,,,,
AFL-CIO (RD 1-union),7575,3152,3152,,,,,1263,1093,1093,,,2467
Teamsters (RD 1-union),1346,186,,186,,,,153,,166,,,452
Other national unions (RD 1-union),184,100,,,100,,,73,,,1,,11
Other local unions (RD 1-union),32,,,,,,,15,,,,3,17
1-union elections (RD subtotal),9137,3438,3152,186,100,,,1393,1093,166,1,3,2947
RD 2-union,,,,,,,,,,,,,
2-union elections (RD subtotal),4647,4454,1904,1835,,342,342,177,,1,,,15
Total RD elections,13784,7892,5056,2021,473,342,1666,1264,1094,166,1,3,2962
