row_label,Division and State,Total elections,Number of elections in which representation rights were won by unions — Total,Number of elections in which representation rights were won by unions — AFL-CIO unions,Number of elections in which representation rights were won by unions — Teamsters,Number of elections in which representation rights were won by unions — Other national unions,Number of elections in which representation rights were won by unions — Other local unions,Number of elections in which no representative was chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes cast for unions — Total,Valid votes cast for unions — AFL-CIO unions,Valid votes cast for unions — Teamsters,Valid votes cast for unions — Other national unions,Valid votes cast for unions — Other local unions,Total cast against unions
Mountain (subtotal — MT/ID/WY/CO/NM/AZ/UT/NV),191,79,64,18,0,4,112,8966,7022,2844,1663,599,169,413,4178,
Pacific (subtotal — WA/OR/CA/AK/HI/Guam),974,380,200,99,6,75,594,31966,27766,15113,9663,1704,671,3075,13628,
"Outlying areas (Puerto Rico, Virgin Islands, etc.)",89,79,51,0,0,22,10,1418,528,4,1,0,0,,810,
"Total, all States and areas (GRAND TOTAL — FY1983 representation elections)",4469,1841,1141,467,33,195,2628,209918,181308,90036,51431,13884,4062,13820,91261,
