Method and stage of disposition,All R Number,All R Percent,RC Number,RC Percent,RM Number,RM Percent,RD Number,RD Percent,UD Number,UD Percent
"Total, all",12724,100.0,10950,100.0,1162,100.0,612,100.0,132,100.0
"Certification issued, total",8328,65.5,7532,68.8,545,47.8,240,39.2,11,8.3
After Consent election,2867,22.5,2554,23.4,207,17.5,85,13.9,11,8.3
Stipulated election,3640,28.6,3337,30.5,243,20.9,60,9.8,0,0
Expedited election under 8(b)(7)(C),28,0.2,4,0.0,24,2.1,0,0,0,0
Regional director-directed election,1665,13.1,1505,13.7,91,7.8,69,11.3,,
Board-ordered election,128,1.0,113,1.0,12,1.0,3,0.5,,
"By withdrawal, total",3085,24.3,2477,22.6,381,32.8,227,37.1,47,35.6
"By dismissal, total",1311,10.3,941,8.6,225,19.4,145,23.7,,
