row_label,Cases in which formal actions taken,Formal actions taken by type of case / Total formal actions taken,Formal actions taken by type of case / CA,Formal actions taken by type of case / CB,Formal actions taken by type of case / CC,Formal actions taken by type of case / CD / Jurisdictional disputes,Formal actions taken by type of case / CD / Unfair labor practices,Formal actions taken by type of case / CE,Formal actions taken by type of case / CG,Formal actions taken by type of case / CP,Formal actions taken by type of case / CA combined with CB,Formal actions taken by type of case / C combined with representation cases,Formal actions taken by type of case / Other C combinations
Decisions based on stipulated record,4,4,4,0,0,0,0,0,0,0,0,0,0
Supplemental ULP decisions,77,21,20,0,0,0,0,0,0,0,0,1,0
Backpay decisions,16,8,8,0,0,0,0,0,0,0,0,0,0
