Expenditure category,Amount
Salaries,2590577
Travel,418240
Transportation of things,13269
Communications,106904
Rents and utility services,114928
Other contractual services,98332
Supplies and materials,29971
Furniture and equipment,12800
Total salaries and expenses,3385021
Printing and binding,213971
Grand total expenditures and obligations,3598992
