Division and State,Total elections,Number of elections in which representation rights were won by unions — Total,AFL-CIO unions won,Teamsters won,Other national unions won,Other local unions won,Number of elections in which no representative chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes cast for unions — Total,AFL-CIO unions,Teamsters,Other national unions,Other local unions,Total votes cast for no representation,Eligible employees in elections choosing no representation
Mountain — Division subtotal (RD),34,8,4,3,0,1,26,1152,1029,304,219,73,30,17,723,605
Pacific — Division subtotal (RD),138,43,31,9,0,0,85,7954,6556,2623,2278,575,,61,3883,2375
Outlying Areas — subtotal (RD),5,2,2,0,0,0,3,183,153,81,81,0,0,0,88,127
"Total, all States and areas — RD GRAND TOTAL FY1991",573,197,122,43,0,8,400,30917,,12159,9051,,,,13556,14174
