row_label,Participating unions,Total elections won,Percent won,Elections won by unions — Total won,Elections won by unions — AFL-CIO,Elections won by unions — Teamsters,Elections won by unions — Other national unions,Elections won by unions — Other local unions,Elections in which no representative chosen,Employees eligible to vote — Total,Employees eligible to vote — In elections won by unions — AFL-CIO,Employees eligible to vote — In elections won by unions — Teamsters,Employees eligible to vote — In elections won by unions — Other national unions,Employees eligible to vote — In elections won by unions — Other local unions,Employees eligible to vote — In elections where no representative chosen
1-union elections — AFL-CIO,1955,50.5,1015,1015,,,,983,126353,45592,45592,,,,84646
1-union elections — Teamsters,1002,56.6,423,,423,,,,,,,,,,
1-union elections — Other national unions,80,71.7,51,,,51,,,,,,,,,
1-union elections — Other local unions,190,53.7,89,,,,89,,,,,,,,
1-union elections — Total,3228,48.3,1578,1015,423,51,89,,,,,,,,
Total RC elections,3377,50.1,1700,1099,441,62,138,1677,208294,84640,55441,14482,3564,11173,123934
