Type of formal action taken,Cases in which formal actions taken,Total formal actions taken,CA,CB,CC,CD — Jurisdictional dispute,CD — Unfair labor practices,CE,CP,CA combined with CB,CA combined with representation cases,Other C combinations
10(k) notices of hearings issued,142,122,0,0,0,122,0,0,0,0,0,0
Complaints issued,3245,2583,1626,297,131,0,0,16,10,36,88,17
Backpay specifications issued,70,47,29,0,0,0,0,0,0,0,0,0
Hearings completed — Total,1689,1123,739,134,85,0,65,5,3,13,46,53
Decisions by trial examiners — Total,1367,968,673,123,46,0,8,5,3,5,39,60
Decisions and orders by the Board — Total,1681,1229,786,166,76,0,69,7,3,18,40,61
Contested — Initial ULP decisions,1067,788,501,85,45,0,69,6,1,2,79,50
