Division and State,All cases,Under labor practices cases — All,Under labor practices cases — CA,Under labor practices cases — CB,Under labor practices cases — CC,Under labor practices cases — CD,Under labor practices cases — CE,Under labor practices cases — CG,Under labor practices cases — CP,Representation cases — All,Representation cases — RC,Representation cases — RM,Representation cases — RD,Union deauthorization cases — UD,Amendment of certification cases — AC,Unit clarification cases — UC
Washington,894,642,460,155,17,1,1,0,8,234,143,28,63,9,0,9
Oregon,527,357,255,69,22,3,1,1,6,158,112,9,37,10,0,2
California,5302,4127,2598,1271,149,31,11,4,59,1098,834,89,175,30,2,45
Alaska,138,106,70,31,2,0,0,0,3,25,16,5,4,2,0,5
Hawaii,174,117,87,21,3,4,3,1,0,48,46,0,2,0,0,3
Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pacific (subtotal),7035,5347,3470,1547,193,39,16,6,76,1571,1155,141,275,51,2,64
Puerto Rico,295,224,194,23,1,0,0,0,6,67,49,7,11,4,0,0
Virgin Islands,15,12,11,1,0,0,0,0,0,3,2,1,0,0,0,0
Outlying areas (subtotal),310,236,205,24,1,0,0,0,6,70,51,8,11,4,0,0
"Total, all States and areas",39351,31453,22266,7767,851,165,4,9,248,7348,5700,392,1256,165,37,348
