Type of election,All R elections — Total elections,All R elections — Elections conducted — Withdrawn or dismissed before issuing certification,All R elections — Elections conducted — Re-running in election or Re-running of election,All R elections — Elections conducted — Resulting in certification,RC elections — Total elections,RC elections — Elections conducted — Withdrawn or dismissed before issuing certification,RC elections — Elections conducted — Re-running in election or Re-running of election,RC elections — Elections conducted — Resulting in certification,RM elections — Total elections,RM elections — Elections conducted — Withdrawn or dismissed before issuing certification,RM elections — Elections conducted — Re-running in election or Re-running of election,RM elections — Elections conducted — Resulting in certification,RD elections — Total elections,RD elections — Elections conducted — Withdrawn or dismissed before issuing certification,RD elections — Elections conducted — Re-running in election or Re-running of election,RD elections — Elections conducted — Resulting in certification
All representation elections,2826,71,54,2701,2356,67,46,2243,39,2,0,37,431,2,8,421
  Re-runs required (All elections),,52,,,,44,,,,0,,,,8,,
  Re-runs reported (All elections),,2,,,,2,,,,0,,,,0,,
Consent elections,60,2,0,58,60,2,0,58,0,0,0,0,0,0,0,0
Stipulated elections,2321,42,38,2241,1912,41,31,1840,30,0,0,30,379,1,7,371
Regional Director-directed,444,27,16,401,384,24,15,345,8,2,0,6,52,1,1,50
Board-directed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Expedited — Sec. 8(b)(7)(C),1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
