Type of Litigation,Total — all courts — Number decided,Total — all courts — Court Determination — Upholding Board position,Total — all courts — Court Determination — Contrary to Board position,In courts of appeals — Number decided,In courts of appeals — Court Determination — Upholding Board position,In courts of appeals — Court Determination — Contrary to Board position,In district courts — Number decided,In district courts — Court Determination — Upholding Board position,In district courts — Court Determination — Contrary to Board position,In bankruptcy courts — Number decided,In bankruptcy courts — Court Determination — Upholding Board position,In bankruptcy courts — Court Determination — Contrary to Board position,In state courts — Number decided,In state courts — Court Determination — Upholding Board position,In state courts — Court Determination — Contrary to Board position
Other,4,4,0,0,0,0,4,4,0,0,0,0,0,0,0
Objection to Board's proof of claim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intervention to argue Collateral Estoppal of Prior Bd decision,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
Suit alleging fraudulent and corrupt conduct by Bd agents,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0
Bivens action against Bd employees,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
Suit for violation of constitutional rights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Federal Tort Claims Act,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State claims preempted by §§ 8(b)(4) & 303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
