Method and stage of disposition,All R cases / Number,All R cases / Percent,RC cases / Number,RC cases / Percent,RM cases / Number,RM cases / Percent,RD cases / Number,RD cases / Percent,UD cases / Number,UD cases / Percent
"Total, all",12438,100,9926,100,788,100,1724,100,277,100
"Certification issued, total",8319,66.9,7177,72.3,320,40.5,822,47.6,143,51.6
"By withdrawal, total",3057,24.3,2228,22.5,281,35.7,548,31.9,100,36.1
"By dismissal, total",1062,8.6,521,5.2,187,23.8,354,20.5,34,12.3
