Stage of disposition,All R cases — Number,All R cases — Percent of cases closed,RC cases — Number,RC cases — Percent of cases closed,RM cases — Number,RM cases — Percent of cases closed,RD cases — Number,RD cases — Percent of cases closed,UD cases — Number,UD cases — Percent of cases closed
Total number of cases closed,12896,100.0,10912,100.0,1077,100.0,907,100.0,163,100.0
Before issuance of notice of hearing,6024,46.7,4734,43.4,709,65.8,581,64.0,124,76.1
After issuance of notice before close of hearing,4538,35.2,4064,37.2,250,23.2,222,24.5,3,1.8
After hearing closed before issuance of decision,137,1.1,122,1.1,8,0.7,7,0.8,0,0.0
After issuance of regional director's decision,2006,15.5,1822,16.7,94,8.7,70,9.9,36,22.1
After issuance of Board decision,193,1.5,170,1.6,16,1.4,7,1.5,,
