Case-flow stage,Total,A. F. of L. affiliates,C I O affiliates,Unaffiliated unions,Individuals,Employers
"NLRA-C cases — Cases pending July 1, 1949",354,97,199,29,29,
"NLRA-C cases — Cases received July 1, 1949-June 30, 1950",,,,,,
"NLRA-C cases — Cases on docket July 1, 1949-June 30, 1950",354,97,199,29,29,
"NLRA-C cases — Cases closed July 1, 1949-June 30, 1950",123,49,47,10,17,
"NLRA-C cases — Cases pending June 30, 1950",231,48,152,19,12,
"CA cases — Cases pending July 1, 1949",2163,676,374,164,949,
"CA cases — Cases received July 1, 1949-June 30, 1950",4472,1614,1023,613,1222,
"CA cases — Cases on docket July 1, 1949-June 30, 1950",6635,2290,1397,777,2171,
"CA cases — Cases closed July 1, 1949-June 30, 1950",4261,1517,853,497,1394,
"CA cases — Cases pending June 30, 1950",2374,773,544,280,777,
"CB cases — Cases pending July 1, 1949",415,15,4,10,290,96
"CB cases — Cases received July 1, 1949-June 30, 1950",996,35,23,51,602,285
"CB cases — Cases on docket July 1, 1949-June 30, 1950",1411,50,27,61,892,381
"CB cases — Cases closed July 1, 1949-June 30, 1950",876,34,14,38,571,219
"CB cases — Cases pending June 30, 1950",535,16,13,23,321,162
"CC cases — Cases pending July 1, 1949",101,0,0,0,2,99
"CC cases — Cases received July 1, 1949-June 30, 1950",275,0,7,3,10,251
"CC cases — Cases on docket July 1, 1949-June 30, 1950",376,7,7,3,12,350
"CC cases — Cases closed July 1, 1949-June 30, 1950",293,5,3,2,8,275
"CC cases — Cases pending June 30, 1950",83,5,2,1,4,75
"CD cases — Cases pending July 1, 1949",16,2,0,0,1,12
"CD cases — Cases received July 1, 1949-June 30, 1950",66,2,0,2,3,59
"CD cases — Cases on docket July 1, 1949-June 30, 1950",82,4,0,2,4,71
"CD cases — Cases closed July 1, 1949-June 30, 1950",62,4,0,0,1,53
"CD cases — Cases pending June 30, 1950",20,0,0,2,3,18
