Stage of movement,Total,AFL-CIO unions,Teamsters,Other national unions,Other local unions,Individuals,Employers
"CA Cases — Pending July 1, 1966",4989,2849,603,189,192,1152,4
CA Cases — Received fiscal 1967,11259,5229,1518,421,391,3682,18
CA Cases — On docket fiscal 1967,16248,8078,2121,610,583,4834,22
CA Cases — Closed fiscal 1967,10824,5085,1471,419,319,3518,12
"CA Cases — Pending June 30, 1967",5424,2993,650,191,264,1316,10
"CB Cases — Pending July 1, 1966",925,42,6,8,32,570,267
CB Cases — Received fiscal 1967,3404,87,14,14,63,2441,785
CB Cases — Closed fiscal 1967,3195,72,12,12,51,2249,796
"CC Cases — Pending July 1, 1966",425,2,1,8,8,10,396
CC Cases — Received fiscal 1967,1329,8,1,29,24,50,1217
"CD Cases — Pending July 1, 1966",157,11,1,0,3,8,134
CD Cases — Received fiscal 1967,486,21,6,0,3,6,435
"CE Cases — Pending July 1, 1966",54,0,0,1,0,13,27
CE Cases — Received fiscal 1967,34,1,1,0,0,5,27
"CP Cases — Pending July 1, 1966",108,1,0,1,1,13,96
CP Cases — Received fiscal 1967,528,3,0,3,1,18,506
