Stage of disposition,All R cases — Number of cases,All R cases — Percent of cases closed,RC cases — Number of cases,RC cases — Percent of cases closed,RM cases — Number of cases,RM cases — Percent of cases closed,RD cases — Number of cases,RD cases — Percent of cases closed
Total number of cases closed,7403,100.0,6352,100.0,599,100.0,452,100.0
Before issuance of notice of hearing,3974,53.7,3392,53.4,328,54.7,254,56.2
"After issuance of notice of hearing, before opening of hearing",1360,18.3,1178,18.5,109,18.2,73,16.1
"After hearing opened, before issuance of Board decision",383,5.2,324,5.1,31,5.2,28,6.2
After issuance of Board decision,1686,22.8,1458,23.0,131,21.9,97,21.5
