row_label,Industrial group,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16
"Total, all industrial groups",8074,4456,2501,1245,467,245,3618,698558,551402,306653,153845,47273,40896,34618,224770,318890,
Metal mining,19,13,8,2,3,0,6,1246,1128,664,284,133,98,180,0,464,783
Construction,222,128,82,19,13,14,94,6429,5471,2227,1842,520,316,481,284,1744,3617
Services,794,430,256,61,39,74,364,30977,26074,20801,24483,5361,9211,2087,5576,891,15385
