Division and State,All cases,Unfair labor practice cases / AII C,Unfair labor practice cases / CA,Unfair labor practice cases / CB,Unfair labor practice cases / CC,Unfair labor practice cases / CD,Unfair labor practice cases / CE,Unfair labor practice cases / CG,Representation cases / AII R,Representation cases / RC,Representation cases / RM,Representation cases / RD,Union deauthorization cases / UD,Amendment of certification cases / AC,Unit clarification cases / UC
District of Columbia,175,135,118,30,5,0,0,0,20,19,2,0,0,0,0
South Atlantic (division total),4409,3999,3164,700,28,2,0,4,481,409,12,61,8,2,18
Mountain (division total),2123,1837,1497,353,10,6,0,2,271,220,3,66,1,0,14
Other states/divisions (catch-all),,,,,,,,,,,,,,,
