row_label,col_1,col_2
Foster Boat Co,Volume 47,Page 889
"Frankel Bros. & Co., Inc",42,781
Frank Foundries Corp,48,1025
"Fraser Brace Engineering Co., Inc",48,1052
"Frazer Mining Co., Frazer, J. S., owner",45,318
"Freeman, H., & Son, Inc",45,716
Fruehauf Trailer Co,46,399
G. W. Electric Specialty Co,47,1000
"Gair, Robert Co., Inc., Tonawanda Boxboards Division",46,1102
Garden City Plating & Mfg. Co,47,1047
Gardner-Denver Co,44,1192
"Gastonia Weaving Co., Inc",49,342
Gelatin Products Co,49,173
General Aircraft Corp,49,916
"General Cable Corp., Bayonne, N. J",49,1212
"General Cable Corp., Rome, N. Y",50,524
"General Chemical Co., Edgewater, N. J",48,923
"General Chemical Co., National Works, Cleveland, Ohio",48,988
"General Chemical Co., Point Pleasant, WVa",49,944
"General Chemical Co., Jamestown, Colo",47,885
"General Electric Co., Taunton, Mass",48,1044
"General Electric Co., Lynn River Works",50,401
"General Electric Co., Schenectady, N. Y",43,453
"General Electric Co., Erie, Pa",42,833
"General Electric Co., Euclid Village, Ohio",42,569
"General Electric Co., Kokomo Plant of the Fort Wayne Works",48,1395
"General Motors Corp., Eastern Aircraft, Linden Division",44,513
"General Motors Corp., Delco Applicance Works Division",45,701
"General Motors Corp., Eastern Aircraft, Trenton Division",45,864
"General Motors Corp., Chevrolet Motor Division",42,224
"General Motors Corp., Inland Mfg. Division",42,810
"General Motors Corp., Frigidaire Division",48,1404
"General Motors Corp., Delco Radio Division",42,508
"General Motors Corp., Oldsmobile Division",45,11
General Petroleum Corp. of California,42,339
General Petroleum Corp. of California,42,1260
"General Properties, Inc., Surface Combustion Division",46,1293
"General Ship & Engine Works, et al",49,1290
General Time Instrument Corp,47,859
"General Time Instruments Corp., Wesiclox Division",47,418
Gerity-Adrian•Mfg. Corp,48,1475
Gibbs Gas Engine Co,42,272
Gibson Refrigerator Co,45,1056
Gilbert & Bennett Mfg. Co,45,1223
Glamorgan Pipe & Foundry Co,46,15
Glen Alden Coal Co,45,738
"Globe Forge Foundries, Inc",46,1323
