row_label,1936-47,Percent of cases closed,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,"July 1-Aug. 21, 1947"
"Total, 1936-47",57852,100.0,98,571,3105,2339,3038,2098,6265,2289,5328,5237,7981,10442,1418
"Before formal action, total",42872,74.1,86,502,2503,1701,1966,1371,4444,1711,4352,4444,5911,8331,1109
"After formal action, total",14980,25.9,12,69,602,638,734,924,1621,578,2156,2365,2070,918,309
Before Board decision,2008,3.5,,,,,,,,,,,,,
After Board decision,12974,22.4,,,,,,,,,,,,,
