Case stage,Total,Identification of petitioner — Employer,Identification of petitioner — Union,Identification of petitioner — Courts,Identification of petitioner — State boards
"Pending October 1, 1990",2,2,0,0,0
Received fiscal 1991,8,6,2,0,0
On docket fiscal 1991,10,8,2,0,0
Closed fiscal 1991,10,8,2,0,0
"Pending September 30, 1991",0,0,0,0,0
