row_label,Case No.,Union and company,Date petition for injunction filed,Type of item,Temporary restraining order / Date issued,Temporary restraining order / Date lifted,Date temporary injunction granted,Date injunction denied,Date injunction proceedings dismissed or dissolved,Date Board decision and order
21-CP-4,21-CP-4,Hotel & Restaurant Employees Local Joint Exec. Board & Local 681 (Crown Cafeteria),"Jan. 18, 1960",,,,,,,
4-CC-123 (also 1-CC-240),4-CC-123; 1-CC-240,"*Teamsters, Local 107 (Russ & Co.); *Teamsters, Locals 25, 379 et al (Rhode Island Chapter, Associated General Contractors of America)","Jan. 22, 1960; Jan. 26, 1960",,,,,,"Feb. 1, 1960",Settled
2-CC-540,2-CC-540,"*Teamsters, Local 802 (H & J Baking Co., Inc. & Kupcha Baking Co.)","Feb. 1, 1960",,,,,,,"Apr. 4, 1960"
Remaining ~17-18 cases on this page,,,,,,,,,,
