row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16
Food and kindred products,I 584,1270,901,347,16,,,,5,287,199,20,68,8,4,15
Tobacco manufacturers,10,8,5,3,,,,,,2,2,,,,,
Textile mill products,249,206,170,32,2,,,,2,40,23,3,14,,,2
Apparel and other finished products made from fabric and similar matenals,303,257,191,64,1,0,,,,44,27,2,15,2,0,0
Lumber and wood products (except furniture),519,398,307,87,3,0,,,,114,83,9,22,4,1,2
Furniture and fixtures,514,422,341,77,4,0,,,,86,67,2,17,4,0,2
Paper and allied products,588,506,392,106,5,3,,,,74,51,4,19,1,0,7
"Printing, publishing, and allied products",794,596,462,120,10,3,,,,165,108,15,42,5,2,26
Chemicals and allied products,641,499,413,83,3,0,,,,130,82,7,41,4,2,6
Petroleum refining and related industnes,186,151,Ill,38,0,1,,,,34,17,0,17,1,0,0
Rubber and miscellaneous plastic products,598,478,377,97,3,0,,,,114,85,3,26,3,0,3
Leather and leather products,95,81,55,25,1,0,,,,14,9,2,3,0,0,0
"Stone, clay, glass, and concrete products",756,602,455,134,11,2,,,,139,89,9,41,6,0,9
Primary metal industries,1178,1009,692,293,12,11,,,,155,124,6,25,8,,5
Fabricated metal products (except machinery and transportation equipment),1.490,1208,932,239,29,6,1,,1,272,197,15,60,3,,6
Machinery (except electrical),1 378,1128,812,260,23,26,2,,5,240,164,14,62,3,,6
"Electrical and electronic machinery equipment, and supplies",926,790,520,261,8,,,,1,126,90,4,32,6,,3
Aircraft and parts,359,343,191,151,,,,,,15,12,,3,0,,0
Ship and boat building and repairing,249,222,135,79,3,3,,,,23,19,1,3,,,3
Automotive and other transportation equipment,1.261,1105,663,430,8,3,,,,148,115,7,26,4,,4
"Measuring, analyzing, and controlling instruments, photographic, medical, and optical goods, watches and clocks",278,224,163,57,2,,0,,1,48,29,3,16,4,0,2
Miscellaneous manufacturing industries,1442,1.107,669,374,42,12,4,0,6,317,250,20,47,8,0,10
Manufacturing,15398,12 610,8 957,3357,187,,,,,,1 842,,,,14,III
,,,,,,72,10,0,27,2 587,,146,599,76,,
