Method and stage of disposition,All R cases / Number,All R cases / Percent,RC cases / Number,RC cases / Percent,RM cases / Number,RM cases / Percent,RD cases / Number,RD cases / Percent,UD cases / Number,UD cases / Percent
"Total, all",7271,100.0,5743,100.0,331,100.0,1197,100.0,168,100.0
"Certification issued, total",4236,58.3,3522,61.3,115,34.7,599,50.0,77,45.8
"By withdrawal, total",2249,30.9,1771,30.8,130,39.3,348,29.1,53,31.5
"By dismissal, total",786,10.8,450,7.8,86,26.0,250,20.9,38,22.6
"Detail by stage (After consent election, Stipulated election, Expedited election, etc.)",,,,,,,,,,
