row_label,Size of unit (number of employees),Number of employees eligible to vote,Total elections held,Total elections held — Percent of total,Elections in which representation rights were won by unions — Total — Number,Elections in which representation rights were won by unions — Total — Percent by class,Elections in which representation rights were won by unions — AFL-CIO unions — Number,Elections in which representation rights were won by unions — AFL-CIO unions — Percent by class,Elections in which representation rights were won by unions — Other national unions — Number,Elections in which representation rights were won by unions — Other national unions — Percent by class,Elections in which representation rights were won by unions — Other local unions — Number,Elections in which representation rights were won by unions — Other local unions — Percent by class,Elections in which representation was not chosen — Number,Elections in which representation was not chosen — Percent by class
Total RC and RM elections,200702,3055,100.0,1375,100.0,1073,78.0,60,4.4,103,7.5,1514,49.6,
Under 10 employees,3551,598,19.6,317,23.1,248,20.4,,,,,,,
