row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7
,,"c.--.,-.00c,",N N,0000,p,":-V4R""",8
". ot-EEIE Eww.zp,",0 ¢,NON...,",","00,1.,-,0",M,",0,,.",m
"gOT, Ego.:112",al,"..M.,0",0,"0M000 ,.",,"0,m.,",". ,-."
..' g I .,"a,",",...,. . m",G,"'W,:.-""- -",r -,"--,L. ,",&I -
..' g I .,pg,",....",", -",0;:4--,,"N.,C)",4
..' g I .,U I:4,",...c. c9",v co,"M;'.""22.%72, M.",,4RUS,R
..' g I .,"zg ? ,","EjPF g ',1",' .1 i,'4281'4,,,
r. 2 .N 2,"',.. 0","0,-,000.0",0,ON 040,e,"0 -4-4 ,",%
r. 2 .N 2,CD U,04004000,",",0040040,0,0000000,
r. 2 .N 2,C4 C.),",004000",M,"0,0,0",", ,",00000,
r. 2 .N 2,c.),cDCWDNO,0,,EZ,04- 2 00t,6-
r. 2 .N 2,U C.),"c.,, ,Dagoto-■",",■",",n,,,;amo",,040)O,:74
r. 2 .N 2,P:1,ppn-,"v, v",U.- 'ER 33m,n,;w . F.,
r. 2 .N 2,c..),p g g F,8 .-■,"g.g1F""",§ m-,"N, r,",r. r- . N-
r. 2 .N 2,"o, 0 o,","'""88 ':, EZI., .- .,",". , ci","c, ',488' ,E,","',, ,,i",FIREU a,
`i,`i,"""°84 0., ,--- -__;-","g! ,- c.;","F;.ggv, r,C1 N .-'o",o,EEM Cq-,
"N I o 5o a, g 7,3 It 4. ' J","N I o 5o a, g 7,3 It 4. ' J","S' VQ.J 2 z E - , Xal... 12 0 E u4p4>",-I w a,"m , cd ,, 11,6, .5.10 (I'Zz4>",t.. - I w,"A E ""g i ca3 ED tg>4›. FOset 4 0.,. fZIP.4›.","-4 a,"
