Industrial group,Total elections,Won by unions — Total,AFL-CIO,Teamsters,Other national,Other local,No representative chosen,Number of employees eligible,Total valid votes cast,Valid votes cast for unions — Total,AFL-CIO,Teamsters,Other national,Other local,Total votes for no union,Eligible employees in units choosing representation
Ordnance and accessories,6,5,1,,,,,960,408,313,,,,,,
Food and kindred products,878,304,169,132,17,18,144,40428,34471,21464,12330,6714,2062,,12927,
Apparel and other finished products made from fabrics and similar materials,95,40,29,3,4,2,51,11922,10642,5024,4797,4122,286,,,5108
Lumber and wood products (except furniture),140,89,68,13,5,2,51,11422,9532,5624,4743,358,,158,,5408
Paper and allied products,169,88,26,35,8,9,81,16857,14765,7944,4479,1786,1022,657,6821,
Chemicals and allied products,297,151,86,32,28,5,146,28728,26028,12345,9062,1041,528,1787,13683,
Primary metal industries,367,130,96,14,14,6,244,28723,28331,16025,8818,1156,2440,,,9344
