Case No.,Union and company,Date petition for injunction filed,Type of petition,Date TRO issued,Date TRO lifted,Date temporary injunction granted,Date injunction denied,Date proceedings withdrawn or dismissed,Date Board decision and/or order
2-CC-410,"AFL-Masters, Mates and Pilots (Monti Marine Co, Inc.)","Feb. 6, 1957",10 (l),,,,,"Feb. 26, 1957",
5-CC-71,"AFL-Painters, Local 28, MEBA Local 12 (American District Council Shipping)","Feb. 7, 1957",10 (l),,,,,"Apr. 2, 1957",
2-CA-5169,AFL-Stedman's Association (Memmoral Coal Shipping),"Feb. 11, 1957",10 (j),"Feb. 21, 1957","Mar. 5, 1957","Mar. 13, 1957",,,
"10-CC-290, 301, 302","AFL-Chattanooga Building and Construction Trades Council, AFL-Teamsters Local 515, AFL-Hod Carriers, Local 846 (E. I. du Pont de Nemours Co.)","Feb. 11, 1957",10 (l),,,,,"June 19, 1957","May 3, 1957"
Additional case rows present,,,,,,,,,
