row_label,col_1,col_2
Total number of cases closed before issuance of complaint,115,100.0
Agreement of the parties-informal settlement,57,49.6
Before 10(k) notice,53 4,461 35
"After 10(k) notice, before opening of 10(k) hearing After opening of 10(k) heanng, before issuance of Board decision and determina- tion of dispute",0,
Compliance with Board decision and determination of dispute,4,35
Withdrawal,41,356
"Before 10(k) notice After 10(k) notice, before operung of 10(k) hearing",39 2,33.9 1.7
"After opening of 10(k) hearing, before issuance of Board decision and determina- tion of dispute After Board decision and determination of dispute",0 0,
Dismissal,13,11.3
,,113
"After 10(k) notice, before opening of 10(k) hearing After opening of 10(k) hearing, before issuance of Board decision and determina- tion of dispute",0,
Before 10(k) notice,13,
,0,
By Board decision and determination of dispute,0,_
