Affiliation of union holding union-shop contract,Number of polls / Total,Number of polls / Resulting in deauthorization / Number,Number of polls / Resulting in deauthorization / Percent of total,Number of polls / Resulting in continued authorization / Number,Number of polls / Resulting in continued authorization / Percent of total,Employees involved (number eligible to vote) / Total eligible,Employees involved (number eligible to vote) / In polls / Resulting in deauthorization / Number,Employees involved (number eligible to vote) / In polls / Resulting in deauthorization / Percent of total,Employees involved (number eligible to vote) / In polls / Resulting in continued authorization / Number,Employees involved (number eligible to vote) / In polls / Resulting in continued authorization / Percent of total,Valid votes cast / Total,Valid votes cast / Percent of total eligible,Valid votes cast / Cast for deauthorization / Number,Valid votes cast / Cast for deauthorization / Percent of total eligible
Total,118,69,58 5,49,41 5,9345,6261,67 0,3084,33 0,6795,72 7,4698,50 3
AFL-CIO unions,67,37,55 2,30,44 8,5196,3129,60 2,2067,30 8,3855,74 2,2364,45 5
Teamsters,40,25,62 5,15,37 5,1609,947,58 9,662,41 1,1191,74 0,844,52 5
Other national unions,3,1,33 3,2,66 7,389,256,67 4,124,32 6,300,78 9,189,49 7
Other local unions,8,6,75 0,2,25 0,2150,1929,89 3,231,10 7,1449,67 1,1301,60 2
