row_label,All C cases — Number,All C cases — Percent of total closed,CA cases — Number,CA cases — Percent of total closed,CB cases — Number,CB cases — Percent of total closed,CC cases — Number,CC cases — Percent of total closed,CD cases — Number,CD cases — Percent of total closed,CE cases — Number,CE cases — Percent of total closed,CG cases — Number,CG cases — Percent of total closed,CP cases — Number,CP cases — Percent of total closed
Total number of cases closed,41544,100.0,28770,100.0,9510,100.0,2001,100.0,484,100.0,159,100.0,44,100.0,576,100.0
Before issuance of complaint,34747,83.6,23162,80.6,8731,91.8,1711,85.6,460,95.0,120,75.4,31,70.4,502,87.1
"After issuance of complaint, before opening of hearing",4556,11.0,3580,12.4,480,5.0,220,11.0,19,3.9,24,15.1,5,11.4,59,10.2
"After hearing opened, before issuance of administrative law judge's decision",349,0.8,305,1.1,30,0.3,7,0.3,0,0.0,1,0.6,1,2.3,5,0.9
"After administrative law judge's decision, before issuance of Board decision",39,0.1,34,0.1,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2
After Board order adopting administrative law judge's decision in absence of exceptions,205,0.5,175,0.6,22,0.2,4,0.2,0,0.0,2,1.3,1,2.3,1,0.2
"After Board decision, before circuit court of appeals decree",1054,2.5,846,2.9,144,1.5,28,1.4,0,0.0,10,6.3,4,9.1,13,2.3
"After circuit court decree, before Supreme Court action",615,1.5,493,1.7,97,1.0,29,1.4,0,0.0,2,1.3,2,4.5,1,0.2
After Supreme Court action,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
