row_label,col_1,col_2,col_3,col_4,col_5,col_6
"Hearings completed, total",2471,2291,2008,76,207,5
Initial hearings,2177,2008,1750,67,191,5
Hearings on objections and/or challenges,294,283,258,9,13,0
"Decisions issued, total",2107,2000,1762,67,171,6
By regional directors,1959,1862,1631,63,168,6
Elections directed,1679,1606,1420,48,138,4
Dismissals on record,280,256,211,15,30,2
By Board,148,138,131,4,3,0
Transferred by regional directors for initial decision,51,43,40,3,0,0
Elections directed Dismissals on record,43,37,34,3,0,0
,8,6,6,0,0,0
Review of regional directors' de- cisions Requests for review received,709,675,629,18,28,0
Withdrawn before request ruled upon,6,6,6,0,0,0
"Board action on requests ruled upon, total",676,649,615,15,19,0
Granted,99,96,91,2,3,0
Denied Remanded,572 5,548 5,520 4,13 0,15 1,0
"Withdrawn after request granted,",,,,,,0
before Board review,0,0,0,0,0,0
"Board decision after review, total_",97,95,91,1,3,o
Regional directors' decisions Affirmed,35,35,35,0,0,0
Modified Reversed,23,21,21 35,0 1,0 3,0
Outcome Elections directed,39,39,,1,,0
Dismissals on,78,78,72,,3,0
record,19,19,19,0,0,0
