Status,Total,Identification of filing party / AFL-CIO affiliates,Identification of filing party / Teamsters,Identification of filing party / Other national unions,Identification of filing party / Unaffiliated local unions,Identification of filing party / Individuals,Identification of filing party / Employers
"CA cases — Pending July 1, 1963",3653,1932,412,138,69,1100,2
CA cases — Received fiscal 1964,10695,5141,1304,368,195,3685,2
CA cases — On docket fiscal 1964,14348,7073,1716,506,264,4785,4
CA cases — Closed fiscal 1964,10189,4792,1227,354,170,3642,4
"CA cases — Pending June 30, 1964",4159,2281,489,152,94,1143,0
"CB cases — Pending July 1, 1963",943,41,4,7,14,677,200
CB cases — Received fiscal 1964,2811,70,9,9,16,2119,588
CB cases — On docket fiscal 1964,3754,111,13,16,30,2796,788
CB cases — Closed fiscal 1964,2958,79,11,9,16,2228,615
"CB cases — Pending June 30, 1964",796,32,2,7,14,568,173
"CC cases — Pending July 1, 1963",357,4,0,0,5,7,341
CC cases — Received fiscal 1964,1233,7,0,16,25,36,1149
CC cases — On docket fiscal 1964,1590,11,0,16,30,43,1490
CC cases — Closed fiscal 1964,1154,6,0,3,20,27,1098
"CC cases — Pending June 30, 1964",436,5,0,13,10,16,392
"CD cases — Pending July 1, 1963",93,8,1,0,0,3,81
CD cases — Received fiscal 1964,393,15,0,2,2,16,358
CD cases — On docket fiscal 1964,486,23,1,2,2,19,439
CD cases — Closed fiscal 1964,328,17,1,1,1,12,296
"CD cases — Pending June 30, 1964",158,6,0,1,1,7,143
"CE cases — Pending July 1, 1963",43,5,0,0,0,3,35
CE cases — Received fiscal 1964,69,7,1,0,1,5,55
CE cases — On docket fiscal 1964,112,12,1,0,1,8,90
CE cases — Closed fiscal 1964,49,4,0,0,0,5,40
"CE cases — Pending June 30, 1964",63,8,1,0,0,4,50
"CP cases — Pending July 1, 1963",96,0,0,0,0,1,95
CP cases — Received fiscal 1964,419,3,0,1,17,4,394
CP cases — On docket fiscal 1964,515,3,0,1,17,5,489
CP cases — Closed fiscal 1964,396,1,0,0,17,4,374
"CP cases — Pending June 30, 1964",119,2,0,1,0,1,115
