row_label,Industrial group,Polls — Number,Polls — Percent,AFL affiliates won — Number,AFL affiliates won — Percent,CIO affiliates won — Number,CIO affiliates won — Percent,Unaffiliated unions won — Number,Unaffiliated unions won — Percent,No union won — Number,No union won — Percent,Eligible voters — Number,Eligible voters — Percent,Valid votes cast — Number,Valid votes cast — Percent
Total,5591,100.0,3231,57.8,1192,21.3,954,17.1,214,3.8,1072917,100.0,900866,100.0,
Manufacturing,3668,65.6,1934,52.7,1055,27.4,552,15.0,117,3.2,846683,78.9,717054,79.6,
