Division and State,All cases,Unfair labor practice cases — CA,Unfair labor practice cases — CB,Unfair labor practice cases — CC,Unfair labor practice cases — CD,Representation cases — RC,Representation cases — RM,Representation cases — RD
Total,13336,4362,1382,345,82,6160,545,460
New England,844,228,49,16,3,476,27,45
Maine,39,12,2,1,0,23,0,1
Massachusetts,493,115,28,8,1,301,20,22
Connecticut,151,49,7,5,1,85,1,3
Middle Atlantic,2996,952,457,62,30,1255,138,102
New York,1655,553,302,37,17,618,91,37
New Jersey,588,174,90,7,2,286,20,29
Pennsylvania,753,225,95,18,11,351,27,36
East North Central,2670,787,249,60,14,1355,97,98
West North Central,1166,367,84,30,11,564,63,47
South Atlantic,1318,467,94,40,8,629,45,35
East South Central,695,276,66,19,0,311,10,13
West South Central,909,262,95,48,3,436,35,30
Mountain,453,137,39,4,1,237,17,15
Pacific,2008,752,224,54,9,762,126,87
