Action taken,Total all,Remedial action taken by Employer / Total,Remedial action taken by Employer / Pursuant to Agreement of parties / Informal settlement,Remedial action taken by Employer / Pursuant to Agreement of parties / Formal settlement,Remedial action taken by Employer / Pursuant to Recommendation of trial examiner / Recommendation of trial examiner,Remedial action taken by Employer / Pursuant to Order of Board / Order of Board,Remedial action taken by Employer / Pursuant to Order of Court / Order of Court,Remedial action taken by Union / Total,Remedial action taken by Union / Pursuant to Agreement of parties / Informal settlement,Remedial action taken by Union / Pursuant to Agreement of parties / Formal settlement,Remedial action taken by Union / Pursuant to Recommendation of trial examiner / Recommendation of trial examiner,Remedial action taken by Union / Pursuant to Order of Board / Order of Board,Remedial action taken by Union / Pursuant to Order of Court / Order of Court
B. By number of employees affected — section header,,,,,,,,,,,,,
"Employees offered reinstatement, total",6187,6187,3887,189,168,280,1733,,,,,,
Section B,,,,,,,,,,,,,
C. By amounts of monetary recovery — section header,8974820,8864790,1127010,197190,115720,535540,6899330,109830,23210,27760,2170,2000,59230
Section C monetary recovery,,,,,,,,,,,,,
