Type / subsection,Number of cases (or workers)
Notice posted,75
Preferential reinstatement,3
Collective bargaining begun,13
Workers reinstated to remedy discriminatory discharge,39
Union membership made available by agreement,14
Workers receiving back pay,53
Back-pay awards (dollar amount),8230
8(b)(1),98
8(b)(2),74
8(b)(3),15
8(b)(4),73
8(b)(5),12
8(b)(6),18
