Stage of disposition,All C cases / Number of cases closed,All C cases / Percent of cases closed,CA cases / Number of cases closed,CA cases / Percent of cases closed,CB cases / Number of cases closed,CB cases / Percent of cases closed,CC cases / Number of cases closed,CC cases / Percent of cases closed,CD cases / Number of cases closed,CD cases / Percent of cases closed,CE cases / Number of cases closed,CE cases / Percent of cases closed,CP cases / Number of cases closed,CP cases / Percent of cases closed
Total number of cases closed,12116,100.0,8117,100.0,2856,100.0,887,100.0,229,100.0,34,100.0,283,100.0
Before issuance of complaint,10902,89.9,6793,83.7,2856,100.0,668,75.3,209,91.3,23,67.6,253,89.4
"After issuance of complaint, before opening of hearing",955,7.9,725,8.9,258,10.1,155,17.5,2,0.9,,,15,5.3
"After hearing opened, before issuance of intermediate report",147,1.2,100,1.2,31,1.4,10,1.1,2,0.9,,,,
"After intermediate report, before issuance of Board decision",124,1.1,103,1.3,10,0.4,12,1.4,5,2.2,,,,
After Board order adopting intermediate report in absence of exceptions,93,0.8,77,0.9,8,0.3,5,0.6,1,0.4,2,5.9,,
"After Board decision, before court decree",458,3.8,358,4.4,79,3.1,17,1.9,0,0,0,0,4,1.4
"After circuit court decree, before Supreme Court action",214,1.7,137,1.7,34,1.3,40,4.5,3,1.3,0,0,0,0
After Supreme Court action,35,0.3,27,0.3,5,0.2,3,0.3,0,0,0,0,0,0
