Industrial group,All cases — Cases — Number,All cases — Cases — Percent of total,All cases — Workers involved — Number,All cases — Workers involved — Percent of total,Unfair labor practice cases — Cases — Number,Unfair labor practice cases — Cases — Percent of total,Unfair labor practice cases — Workers involved — Number,Unfair labor practice cases — Workers involved — Percent of total,Representation cases — Cases — Number,Representation cases — Cases — Percent of total,Representation cases — Workers involved — Number,Representation cases — Workers involved — Percent of total
Mining: Metal mining,55,.6,17459,.7,32,.7,10055,.7,21,.5,7341,.6
Mining: Coal mining,118,1.3,41597,1.8,76,1.6,6219,.4,42,1.0,35378,2.9
Construction,60,.7,33000,1.4,45,.9,31229,2.1,15,.4,1953,.2
Wholesale trade,645,7.1,41509,1.7,349,7.2,23724,1.6,296,6.8,17785,1.5
Retail trade,315,3.4,15353,.6,190,3.9,8691,.6,125,2.9,6662,.6
"Transportation, communication, and other public utilities",689,9.7,153044,6.4,457,,82727,,,,,
Services,187,2.0,16005,.7,115,2.4,8707,.6,72,1.7,8992,.8
Total (all industries),9151,100.0,2373361,100.0,4817,100.0,1464017,100.0,4334,100.0,1188088,100.0
