row_label,col_1,col_2,col_3,col_4,col_5,col_6
"Iearings completed, total",2781,2518,2269,101,145,11
Initial hearings Hearings on objections and/or challenges,"2,502 279","2,253 265","2,019 250",94 10,140 5,9 2
")ecisions issued, total",2422,2259,2034,84,141,3
By regional directors,2242,2103,1899,73,131,3
Elections directed Dismissals on record,"1,947 295","1,825 278","1,646 253",62 11,117 14,3 0
By Board_,180,156,135,11,10,0
After transfer by regional directors for initial decision,126,112,92,11,9,0
Elections directed Dismissals on record,71 55,65 47,54 38,7 4,4 5,0 0
After review of regional directors' decisions,54,44,43,0,1,0
Elections directed Dismissals on record,30 24,27 17,27 16,0 0,0 1,0 0
"Decisions on objections and/or challenges, total_ _ _",1240,1202,1098,67,37,9
By regional directors,340,327,305,15,7,5
By Board,900,875,793,52,30,4
In stipulated elections,844,822,748,47,27,3
No exceptions to regional directors' reports,600,584,539,26,19,3
Exceptions to regional directors' reports,244,238,299,21,8,0
In directed elections (after transfer by regional directors),41,38,33,4,1,1
In directed elections after review of regional directors' supplemental decisions,15,15,12,1,2,
