row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7
"Pending October 1, 1985","• 12,616",6219,1520,460,843,3570,4
Received fiscal 1986,24084,10977,2823,835,1190,8259,0
On docket fiscal 1986,36700,17196,4343,1295,2033,11829,4
Closed fiscal 1986,23180,10430,2858,632,1141,8117,2
"Pending September 30, 1986",13520,6766,1485,663,892,3712,2
,CB cases,CB cases,CB cases,CB cases,CB cases,CB cases,CB cases
"Pending October 1, 1985",,,,,,,
,"• 2,823",37,14,9,26,2031,706
Received fiscal 1986,8496,184,13,7,29,7117,1146
On docket fiscal 1986,11319,22.1,27,16,55,9148,1852
Closed fiscal 1986,8266,57,16,7,30,7012,1144
"Pending September 30, 1986",3053,164,It,9,25,2136,708
,CC cases,CC cases,CC cases,CC cases,CC cases,CC cases,CC cases
"Pending October I, 1985",.641,9,0,I,17,1,613
Received fiscal 1986,1206,8,0,10,13,0,1175
On docket fiscal 1986,1847,17,0,II,30,1,1788
Closed fiscal 1986,1320,14,0,II,17,0,1278
"Pending September 30, 1986",527,3,0,0,13,I,510
,CD cases,CD cases,CD cases,CD cases,CD cases,CD cases,CD cases
"Pending October I, 1985",• 124,8,2,0,6,0,108
Received fiscal 1986,298,9,1,0,5,0,283
1986,,,,,,,
On docket fiscal,422,17,3,0,II,0,391
Closed fiscal 1986,323,14,2,0,8,0,299
,CE cases,CE cases,CE cases,CE cases,CE cases,CE cases,CE cases
"Pending October I, 1985",• 55,0,0,0,10,2,43
Received fiscal 1986,67,2,0,2,3,0,60
On docket fiscal 1986,122,2,0,2,13,2,103
Closed fiscal 1986,75,2,0,I,6,0,66
"Pending September 30, 1986",47,0,0,I,7,2,37
,CG cases,CG cases,CG cases,CG cases,CG cases,CG cases,CG cases
,,0,,,0,0,6
"Pending 0,tober 1, 1985 Received fiscal 1986",•6 25,0,0 0,0 0,1,0,24
On docket fiscal 1986,31,0,0,0,1,0,30
Closed fiscal 1986,20,0,,0,1,0,19
"Pending September 30, 1986",11,0,0 0,0,0,0,II
,CP,CP,CP,CP,CP,CP,CP
,,,,cases,,,
"Pending October I, 1985",•I30,1,0,0,0,2,127
Received fiscal 1986,259,1,0,6,6,0,246
On docket fiscal 1986,389,2,0,6,6,2,373
"Pending September 30, 1986",123,2,0,1,I,2,117
