row_label,All cases — Number,All cases — Percent of total closed,All cases — Percent of total method,CA cases — Number,CA cases — Percent of total closed,CB cases — Number,CB cases — Percent of total closed,CC cases — Number,CC cases — Percent of total closed,CD cases — Number,CD cases — Percent of total closed,CE cases — Number,CE cases — Percent of total closed,CG cases — Number,CG cases — Percent of total closed,CP cases — Number,CP cases — Percent of total closed
Dismissal,9584,31.0,100.0,5925,25.7,3284,51.9,86,19.3,27,14.4,12,37.5,6,19.2,24,22.4
Before issuance of complaint,9169,30.2,97.9,5754,25.0,3261,51.5,86,19.3,27,14.4,12,37.5,6,19.2,23,21.5
By Board decision,107,0.4,1.1,93,0.4,14,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
