Industrial group,Total elections / Number,Total elections / Percent,A.F. of L. affiliates authorized / Number,A.F. of L. affiliates authorized / Percent,C.I.O. affiliates authorized / Number,C.I.O. affiliates authorized / Percent,Unaffiliated authorized / Number,Unaffiliated authorized / Percent,No union authorized / Number,No union authorized / Percent,Eligible voters / Number,Eligible voters / Percent,Valid votes cast / Number,Valid votes cast / Percent
Total,17958,100.0,12820,71.4,2312,12.9,2469,13.7,357,2.0,1852333,100.0,1629330,100.0
Manufacturing,11672,65.0,7611,64.4,2089,17.9,1879,16.1,193,1.6,1605956,81.3,1332749,81.8
Manufacturing — Food and kindred products,2319,12.9,1924,83.0,196,8.4,240,10.4,40,1.7,171122,9.2,152604,9.4
Manufacturing — Textile-mill products,912,5.1,97,10.6,740,81.1,73,8.0,6,0.7,269113,14.5,235873,14.5
Manufacturing — Paper and allied products,564,3.1,265,47.0,167,29.7,113,21.4,12,2.1,132810,7.2,119117,7.3
Manufacturing — Primary metal industries,755,4.2,480,75.5,117,12.5,47,7.0,11,2.0,116000,6.3,99728,6.1
Manufacturing — Fabricated metal products (except machinery and transportation equipment),1162,6.5,791,67.2,125,10.6,234,20.5,12,1.7,104768,5.7,92527,5.7
Manufacturing — Machinery (except electrical),1051,5.9,204,22.8,127,13.1,595,56.0,22,4.0,137486,7.4,119439,7.3
Manufacturing — Transportation equipment,374,2.1,96,25.2,100,26.7,150,42.6,16,4.3,123927,6.7,108002,6.6
