row_label,col_1,col_2,col_3,col_4
Cases decided by U. S. Circuit Courts of Appeals,66,100.0,594,100.0
Board orders enforced in full,41,62.2,346,58.2
Board orders enforced with modification,17,25.7,167,25.1
Board orders set aside,6,9.1,73,12.4
Remanded to Board,2,3.0,8,1.3
Cases decided by U. S. Supreme Court,6,100.0,52,100.0
Board orders enforced in full,5,83.3,40,76.9
Board orders enforced with modification,,,8,15.4
Board orders set aside,,,2,3.9
Remanded to Board,,,1,1.9
"Board's request for remand or modification of enforced order, denied__",1,16.7,1,1.9
