Stage of disposition,All R case / Number of cases,All R case / Percent of cases closed,RC cases / Number of cases,RC cases / Percent of cases closed,RM cases / Number of cases,RM cases / Percent of cases closed,RD cases / Number of cases,RD cases / Percent of cases closed,UD cases / Number of cases,UD cases / Percent of cases closed
Total number of cases closed,12438,100.0,9925,100.0,788,100.0,1724,100.0,277,100.0
Before issuance of notice of hearing,4393,35.3,2934,29.6,494,62.7,965,56.0,177,63.9
After issuance of notice before close of hearing,6022,48.5,5240,52.7,296,20.1,470,27.3,14,5.1
After hearing closed before issuance of decision,135,1.1,105,1.1,20,1.8,16,0.9,4,1.4
After issuance of regional director's decision,1834,14.7,1598,16.1,71,9.0,165,9.6,79,28.5
After issuance of Board decision,54,0.4,49,0.5,3,0.4,1,0.1,1,1.1
