Industrial group,Total elections,Number of elections in which representation rights won by unions — Total,Number of elections in which representation rights won by unions — AFL-CIO,Number of elections in which representation rights won by unions — Teamsters,Number of elections in which representation rights won by unions — Other national,Number of elections in which representation rights won by unions — Other local,Number of elections in which no representative was chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes cast for unions — Total,Valid votes cast for unions — AFL-CIO,Valid votes cast for unions — Teamsters,Valid votes cast for unions — Other national,Valid votes cast for unions — Other local,Total votes for no union,Eligible employees in units choosing representation
Metal mining,10,8,7,1,0,0,2,678,615,342,342,0,0,0,,
Coal mining,20,13,5,0,0,8,7,1675,1559,1414,353,0,0,840,76,734
Oil and gas extraction,13,8,7,0,1,0,5,647,545,215,165,0,75,0,70,330
Mining and quarry of nonmetallic minerals (except fuels),29,16,13,2,0,1,13,1232,1113,627,447,30,0,0,476,476
Mining — Total,72,40,29,3,8,0,32,4224,1164,114,840,106,1253,2693,,
Construction,213,116,85,14,15,7,97,7308,5687,3524,2693,570,249,112,2163,4765
Wholesale trade,846,451,113,310,15,13,395,18115,17008,9200,9226,5322,229,122,7808,10353
Retail trade,1426,654,422,182,25,25,772,44939,42928,36605,11789,3061,649,693,10861,8909
"Finance, insurance, and real estate",147,73,33,9,6,0,74,7070,6006,3820,2165,1195,9,220,2986,3899
U.S. Postal Service,26,18,0,4,14,0,0,2212,1565,1195,0,120,9,1062,470,1666
"Transportation, communication, and other utilities — Total",1022,563,228,301,17,17,459,37747,33897,16964,9288,6643,774,1219,16493,17129
Services — Total,1094,591,295,147,0,0,475,37196,30389,12653,3589,1023,3616,18792,28789,
"Total, all industrial groups",9369,4786,2651,1542,316,277,4583,541445,480303,244232,154282,48756,23658,17536,236071,233874
