row_label,Industrial group,Total elections,Number of elections in which representation rights were won by unions / Total,Number of elections in which representation rights were won by unions / AFL-CIO unions,Number of elections in which representation rights were won by unions / Teamsters,Number of elections in which representation rights were won by unions / Other national unions,Number of elections in which representation rights were won by unions / Other local unions,Number of elections in which no representative was chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes cast for unions / Total,Valid votes cast for unions / AFL-CIO unions,Valid votes cast for unions / Teamsters,Valid votes cast for unions / Other national unions,Valid votes cast for unions / Other local unions,Votes for no union,Eligible employees in units choosing representation
Manufacturing (total),3771,1730,1016,470,167,77,2041,269330,243375,112904,73183,20519,10494,8708,130471,98127,
"Industry detail rows (Food and kindred products, Tobacco, Textile, Apparel, Lumber, Furniture, Paper, Printing, Chemicals, Petroleum, Rubber, Leather, Stone clay glass, Primary metal, Fabricated metal, Machinery, Electrical, Transportation eqpt, Aircraft, Ship/boat, Auto, Measuring instruments, Misc manufacturing)",,,,,,,,,,,,,,,,,
