Size of establishments (Number of employees),Total cases received,Total cases received / Percent of all establish- ments,Total cases received / Percent by class,Type of situation CA / Num- ber,Type of situation CA / Percent by class,Type of situation CB / Num- ber,Type of situation CB / Percent by class,Type of situation CC / Num- ber,Type of situation CC / Percent by class,Type of situation CD / Num- ber,Type of situation CD / Percent by class,Type of situation CE / Num- ber,Type of situation CE / Percent by class,Type of situation CG / Num- ber,Type of situation CG / Percent by class,Type of situation CP / Num- ber,Type of situation CP / Percent by class,Type of situation CA+CB combinations / Num- ber,Type of situation CA+CB combinations / Percent by class,Other C combinations / Num- ber,Other C combinations / Percent by class
Total (all establishments),,,,,,,,,,,,,,,,,,,,,
