Year and month,Number of workers involved in cases brought before the Board / (1),Number of workers involved in strikes — Total / (2),Number of workers involved in strikes — Involving recognition and discrimination / (3),Ratio of cases to strikes — All strikes / (1/2),Ratio of cases to strikes — Strikes involving recognition and discrimination / (1/3)
1935 October,47790,48223,21926,0.99,2.18
1935 November,47580,34661,6341,1.37,7.50
1935 December,37580,14133,4155,1.65,4.69
1936 Total,523135,763750,360306,.68,1.45
1937 Total,2339631,1816847,,1.29,
1938 Total,1219489,632927,127658,1.87,9.94
1939 Total,1315242,783089,184431,1.68,7.13
