row_label,industry,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15
Fabricated metal products except machinery and transportation equipment,607,219,140,46,2,6,188,77585,23872,13891,7889,2407,2453,1142,11483,12711
Machinery (except electrical),492,257,144,45,4,8,235,55616,32645,16579,9212,1507,5185,675,18066,13256
"Electrical machinery, equipment, and supplies",304,146,88,24,21,13,158,47431,13609,18240,9179,1723,1580,6942,10223,21367
Ship and boat building and repairing,36,13,8,2,0,0,18,18387,10856,14422,5525,168,560,8569,1434,16987
Miscellaneous transportation equipment,251,141,77,20,1,10,110,26386,24018,12713,7889,1510,2602,712,11305,10583
"Professional, scientific, and controlling instruments",82,29,19,5,0,0,33,10804,10018,4534,2983,697,914,38,5384,4784
Miscellaneous manufacturing,169,50,47,20,0,9,43,10634,3503,3612,899,865,82,17,2514,4794
Manufacturing,4434,2222,1375,500,243,104,2112,997353,356616,201659,124945,24729,24865,27220,154957,166051
Metal mining,5,2,2,0,0,0,304,374,178,149,0,0,0,0,196,75
Coal mining,28,16,5,2,0,0,5,1688,1036,117,0,13,675,181,75,551
Crude petroleum and natural gas production,8,4,2,0,0,0,2,286,153,121,34,0,0,0,100,133
Nonmetallic mining and quarrying,31,15,6,1,0,0,16,1338,1396,533,187,101,13,0,451,244
Mining,77,40,15,3,0,0,37,3876,3503,1290,270,203,705,180,1801,1003
Construction,235,141,104,15,12,8,94,8613,6610,4140,2575,432,441,788,2164,4839
Wholesale trade,780,422,210,87,16,338,16470,14952,7765,2456,4407,560,879,7195,7215,7015
Retail trade,718,397,204,76,27,14,292,40386,29121,13716,8341,8719,5517,5517,18005,16771
"Finance, insurance, and real estate",107,55,42,1,0,5,52,4179,4455,1907,1539,61,183,82,2486,1074
U.S. Postal Service,,,,,,,,,,,,,,,,
