row_label,Number of Cases / Total,Number of Cases / Identification of Petitioner / Employer,Number of Cases / Identification of Petitioner / Union,Number of Cases / Identification of Petitioner / Courts,Number of Cases / Identification of Petitioner / State Board
"Pending October 1, 2008",0,0,0,0,0
Received fiscal 2009,1,0,0,0,1
On docket fiscal 2009,1,0,0,0,1
Closed fiscal 2009,1,0,0,0,1
"Pending September 30, 2009",0,0,0,0,0
