Division and State,All cases,Unfair labor practice cases / All C cases,Unfair labor practice cases / CA,Unfair labor practice cases / CB,Unfair labor practice cases / CC,Unfair labor practice cases / CD,Unfair labor practice cases / CE,Unfair labor practice cases / CP,Representation cases / All R cases,Representation cases / RC,Representation cases / RM,Representation cases / RD,Union deauthorization cases / UD
East South Central,1518,905,722,147,23,9,1,24,602,538,33,31,0
West South Central,1712,963,687,144,86,30,3,18,744,654,45,45,5
Mountain,1207,734,527,121,65,24,3,9,557,466,59,32,6
Pacific,4090,2210,1332,448,263,68,27,72,1839,1355,334,141,16
Outlying areas,531,262,203,30,16,9,1,3,257,243,9,5,12
State,,,,,,,,,,,,,
