row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7
"Pending July 1, 1972",6905,8659,717,818,261,1946,4
Received fiscal 1973,17361,7275,2083,546,461,6954,42
On docket fiscal 1973,24266,10934,2800,864,722,8900,46
Closed fiscal 1973,17985,7668,2087,623,560,7021,26
"Pending June 80, 1973",6281,3266,713,241,162,1879,20
,CB cases,CB cases,CB cases,CB cases,CB cases,CB cases,CB cases
"Pending July 1, 1972",1703,84,11,4,23,1239,392
Received fiscal 1973,6052,60,9,9,26,4820,1128
On docket fiscal 1978,7755,94,20,13,49,6069,1520
Closed fiscal 1973,5975,68,13,8,42,4793,1051
"Pending June 30, 1973",1780,26,7,5,7,1266,469
,CC eases,CC eases,CC eases,CC eases,CC eases,CC eases,CC eases
"Pending July 1, 1972",504,2,1,9,7,9,476
Received fiscal 1973,1868,13,o,28,19,75,1733
On docket fiscal 1978,2372,15,1,37,26,84,2209
Closed fiscal 1973,1780,18,1,35,19,72,1640
"Pending June 30, 1978",592,2,o,2,7,12,569
,Cl) cases,Cl) cases,Cl) cases,Cl) cases,Cl) cases,Cl) cases,Cl) cases
"Pending July 1, 1972",227,9,1,o,6,8,208
Received fiscal 1973,627,28,3,2,5,", 21",573
On docket fiscal 1978,854,82,4,2,11,24,781
Closed fiscal 1973,665,27,4,2,9,",- 18",605
"Pending June 30, 1973",189,5,o,o,2,6,176
,CE eases,CE eases,CE eases,CE eases,CE eases,CE eases,CE eases
"Pending July 1, 1972",65,o,o,o,7,o,58
Received fiscal 1973,104,a,o,o,19,16,66
On docket fiscal 1973,169,S,o,o,26,16,124
Closed fiscal 1973,84,2,o,o,9,4,69
"Pending June 30, 1973",85,1,o,o,17,12,55
,CF cases,CF cases,CF cases,CF cases,CF cases,CF cases,CF cases
"Pending July 1, 1972",99,2,o,o,6,5,86
Received fiscal 1973,475,o,i,6,10,22,436
On docket fiscal 1973,574,2,1,6,16,27,522
Closed fiscal 1978,500,2,0,6,16,26,450
"Pending June 30, 1973",74,o,1,o,0,1,72
