Type of election,All R cases / Total representation elections,All R cases / Objections and/or challenges Number of elections involved,All R cases / Objections and/or challenges Percent of total elections,RC cases / Total RC elections,RC cases / Objections/challenges Number,RC cases / Objections/challenges Percent,RM cases / Total RM elections,RM cases / Objections/challenges Number,RM cases / Objections/challenges Percent,RD cases / Total RD elections,RD cases / Objections/challenges Number,RD cases / Objections/challenges Percent,UD cases / Total union deauthorization elections,UD cases / Objections/challenges Number,UD cases / Objections/challenges Percent
"All types, total",8324,1471,17.7,7687,1316,17.2,460,128,27.5,221,27,12.2,68,0,
All types — Objections alone or with challenges,,1156,,,1050,,,,,,,,,,
All types — Challenges only,,315,,,266,,,,,,,,,,
Sub-section breakdowns (In consent elections / In stipulated elections / In expedited elections / In regional director-directed elections / In Board-directed elections) — each with Total + Objections alone-or-with-challenges + Challenges only rows,,,,,,,,,,,,,,,
