Types of formal actions taken,Cases in which formal actions taken,Total formal actions taken,Formal action taken by type of case / CA,Formal action taken by type of case / CB,Formal action taken by type of case / CC,Formal action taken by type of case / CD,Formal action taken by type of case / CE,Formal action taken by type of case / CG,Formal action taken by type of case / CP,Formal action taken by type of case / CC combined with CA,Formal action taken by type of case / CC combined with CB,Formal action taken by type of case / C combined with representation case,Formal action taken by type of case / Other C combined case,Formal action taken by type of case / Other C combined case,Formal action taken by type of case / Other C combined case
10(b) notices of hearings issued,36,72,,,,,,,,,,,,,143
"Hearings completed, total",721,923,,,,,,,,,,,,,
"Decisions issued by administrative law judges, total",800,668,,,,,,,,,,,,,
"Decisions and orders by the Board, total",1109,857,,,,,,,,,,,,,
