Stage,Median days
I. Unfair labor practice cases:,
A. Major stages completed-,
1. Filing of charge to issuance of complaint,82
2. Complaint to close of hearing,165
3. Close of hearing to issuance of administrative law judge's decision,111
4. Administrative law judge's decision to issuance of Board decision,217
5. Originating document to Board decision,132
6. Filing of charge to issuance of Board decision,591
"B. Age of cases pending administrative law judge's decision, September 30, 1996.",
1. From filing of charge,265
2. From close of hearing,90
"C. Age of cases pending Board decision, September 30, 1996.",
1. From filing of charge,846
2. From originating document,215
II. Representation cases:,
A. Major stages completed-,
1. Filing of petition of notice of hearing issued,4
2. Notice of hearing to close of hearing,13
3. Close of hearing to Regional Director's decision issued,23
4. Close of pre-election hearing to Board's decision issued,246
5. Close of post-election hearing to Board's decision issued,183
6. Filing of petition to-,
a. Board decision issued,267
b. Regional Director's decision issued,45
7. Originating document to Board decision,126
"B. Age of cases pending Board decision, September 30, 1996.",
1. From filing of petition,369
2. From originating document,158
"C. Age of cases pending Regional Director's decision, September 30, 1996",122
