row_label,Action taken,Total all,Remedial action taken by Employer / Total,Pursuant to Agreement of parties / Informal settlement,Formal settlement,Recommendation of administrative law judge,Order of / Board,Court,Remedial action taken by Union / Total,Pursuant to Agreement of parties / Informal settlement,Formal settlement,Recommendation of administrative law judge,Order of / Board,Court
A. By number of cases involved,A. By number of cases involved,8003,,,,,,,,,,,,
Notice posted,Notice posted,3958,2639,1709,129,4,531,266,1319,929,136,22,134,98
Recognition or other assistance withdrawn,Recognition or other assistance withdrawn,66,66,47,5,0,7,7,,,,,,
Employer-dominated union disestablished,Employer-dominated union disestablished,25,25,17,7,0,1,0,,,,,,
Employees offered reinstatement,Employees offered reinstatement,1501,1501,1008,62,2,317,202,,,,,,
Employees placed on preferential hiring list,Employees placed on preferential hiring list,100,100,82,8,0,7,10,,,,,,
Hiring hall rights restored,Hiring hall rights restored,77,,,,,,,77,65,2,0,4,6
Objections to employment withdrawn,Objections to employment withdrawn,119,,,,,,,119,89,6,0,11,10
Picketing ceased,Picketing ceased,756,,,,,,,756,699,26,0,20,11
Work stoppage ended,Work stoppage ended,305,,,,,,,305,153,141,1,5,5
Collective bargaining begun,Collective bargaining begun,1756,1668,1204,42,2,138,202,167,127,13,0,8,14
Backpay distributed,Backpay distributed,1988,1988,1304,95,2,295,262,,,,,,
"Reimbursement of fees, dues, and fines","Reimbursement of fees, dues, and fines",119,63,49,1,0,7,6,56,42,0,0,8,6
Other conditions of employment improved,Other conditions of employment improved,1669,946,920,13,0,7,12,728,693,6,0,14,10
Other remedies,Other remedies,,,,,,,,,,,,,
