Affiliation of union holding union-shop contract,Number of polls / Total,Number of polls / Resulting in deauthorization / Number,Number of polls / Resulting in deauthorization / Percent of total,Number of polls / Resulting in continued authorization / Number,Number of polls / Resulting in continued authorization / Percent of total,Employees involved (number eligible to vote) / Total eligible,Employees involved (number eligible to vote) / In polls / Resulting in deauthorization / Number,Employees involved (number eligible to vote) / In polls / Resulting in deauthorization / Percent of total,Employees involved (number eligible to vote) / In polls / Resulting in continued authorization / Number,Employees involved (number eligible to vote) / In polls / Resulting in continued authorization / Percent of total,Valid votes cast / Total,Valid votes cast / Percent of total eligible,Valid votes cast / Cast for deauthorization / Number,Valid votes cast / Cast for deauthorization / Percent of total eligible
Total,111,62,55.9,49,44.1,5269,1631,31.0,3638,69.0,4288,81.4,1443,27.4
AFL-CIO unions,74,39,52.7,35,47.3,3030,1332,44.0,1698,56.0,2528,83.4,1164,38.4
Teamsters,22,16,72.7,6,27.3,702,157,22.4,545,77.6,598,85.2,145,20.7
Other national unions,5,3,60.0,2,40.0,1010,80,7.9,930,92.1,795,78.7,77,7.6
Other local unions,10,4,40.0,6,60.0,527,62,11.8,465,88.2,367,69.6,57,10.8
