row_label,col_1,col_2,col_3,col_4
Cases decided by United States courts of appeals,50,100 0,785,100.0
Board orders enforced in full,32,64 0,468,59.6
Board orders enforced with modification,4,80,197,251
Board orders set aside,10,20 0,105,134
Remanded to Board,4,8.0,15,19
Cases decided by U S. Supreme Court,3,100 0,62,100 0
Board orders enforced in full,,,45,726
Board orders enforced with modification,2,66.7,11,178
Board orders set aside,,,2,3.2
Remanded to Board,,,1,1.6
Remanded to courts of appeals,i,33.3,2,3.2
Board's request for ieniand or modification of en- forced orders denied,,,1,1.6
