Method and stage of disposition,All C cases — Number,All C cases — Percent of total closed,CA cases — Number,CA cases — Percent of total closed,CB cases — Number,CB cases — Percent of total closed,CC cases — Number,CC cases — Percent of total closed,CD cases — Number,CD cases — Percent of total closed,CE cases — Number,CE cases — Percent of total closed,CG cases — Number,CG cases — Percent of total closed,CP cases — Number,CP cases — Percent of total closed
Administrative law judge's decision (header),33,0.1,32,0.1,1,0.0,0,0,0,0,0,0,0,0,0,0
Board decision,537,1.6,455,1.9,69,0.9,8,0.9,1,0.5,0,0,1,2.1,4,2.5
Withdrawal,9979,30.4,7467,31.7,2168,27.1,235,27.2,6,2.8,36,78.3,15,39.4,68,42.5
Withdrawal — Before issuance of complaint,9700,29.5,7245,30.8,2141,26.8,228,26.4,,,26,56.5,12,31.7,48,30.0
Dismissal,11476,34.9,6887,29.2,4308,53.9,131,15.2,209,96.3,2,4.3,15,34.2,32,20.0
Dismissal — Before issuance of complaint,11273,34.3,6786,28.8,4372,54.7,106,12.3,,,1,2.2,18,26.0,13,8.1
