row_label,Industrial group,Total elections,Number of elections in which rights were won by unions — Total,AFL-CIO,Teamsters,Other national,Other local,Number of elections in which no representation chosen,Total valid votes cast,Valid votes cast for unions — Total,AFL-CIO,Teamsters,Other national,Other local,Votes for no union,Total eligible employees
Manufacturing — Food and kindred products,137,28,8,12,,,109,14617,5978,4535,1775,,,,3277,
Manufacturing TOTAL,1074,414,291,90,0,23,660,91167,37000,30071,4608,,,750,44042,
